TEMP,PR,PET,RH,WS,GHI,SM,ST,DEM,SLP,Pre_NDVI,PV_Area,AI
6.703837203,232.1662262,1014.525746,52.26745688,2.764427134,1445.595603,3.684347099,0.868360796,1337.426699,1.146205119,0.165112041,0.530290052,0.189220801
4.144144323,432.2035076,684.1225461,63.87919108,2.918929196,2111.245979,9.630016489,0.763483271,4044.706995,3.978147425,0.163948552,0.26230835,0.403414573
8.663252702,162.1423354,1134.564224,55.29648113,2.403527027,1390.564169,2.541127659,1.252609542,448.8745166,0.444573601,0.207847642,0.521927525,0.110625595
7.615546984,165.5108217,1117.138273,52.48060177,2.732942962,1445.179454,3.429395193,1.204916836,802.0942129,3.14002504,0.164105736,8.23486291,0.121059251
4.759917071,170.1534662,980.8309773,49.24439107,3.056872854,1413.143326,1.842063912,0.777627217,1480.797868,1.872407347,0.260737287,0.568684112,0.142306792
5.969783598,140.2582732,1050.848194,49.79137552,2.822549316,1469.053761,2.473736175,1.029016616,1014.049965,0.853598382,0.214062806,1.424783775,0.111382111
5.870552254,139.6157749,1047.265787,49.45420095,2.854254156,1466.743053,2.423892893,0.997682286,1071.870373,0.880883724,0.203496539,0.785407028,0.110797789
5.740400127,140.8826333,1042.866061,49.20612697,2.890118809,1460.674648,2.335457443,0.984043054,1130.188485,0.933031416,0.214340373,0.677258923,0.111127178
5.002150973,438.5944926,826.2006111,47.05656743,2.813591935,2196.993991,10.7214788,0.869682866,4018.916451,7.281000608,0.155229869,0.787008239,0.357039563
5.591240873,415.3785156,884.7500199,42.51861617,2.6867687,2141.330712,10.04275435,0.78513623,3954.725554,8.936232491,0.173415526,0.513589185,0.334043968
6.734209801,440.0618933,958.3342973,40.42193992,2.690459697,1972.739069,17.64998859,0.779157932,3840.264194,8.52567704,0.253830065,0.402631931,0.330856158
5.737916143,417.3426527,903.6032652,40.15846543,2.820071656,2058.120115,14.33475598,0.755019792,3926.003269,14.17186081,0.255328525,0.955716173,0.32252038
3.855240371,245.0213409,869.0838756,37.35479061,2.824934727,1773.22459,1.966322473,0.786397857,2951.146419,0.368957091,0.171144527,0.444512959,0.174940823
7.583545379,164.0820039,1114.106509,54.30949682,2.598100537,1454.297693,3.720717551,1.297742883,553.8621668,0.311294421,0.161753829,0.538616665,0.11948283
5.669458852,483.8163232,886.7988963,55.44713978,3.279996911,1444.382243,8.676273287,0.824199969,198.460065,0.423127752,0.276110723,0.494737885,0.513030568
1.515246916,305.8944203,524.2787859,60.52156489,3.283659701,2259.031096,9.636228566,0.7199244,4557.177109,3.69427871,0.12479375,0.287279622,0.282152966
1.646064308,301.5354574,531.3934623,59.55485612,3.260654592,2270.624644,8.394036224,0.753032422,4500.544351,3.53589041,0.164516287,0.567049305,0.286200782
